layer,research_code,parent_research_code,name_ar,name_fr,latitude,longitude,source_locator,existing_entity_id
imada,41541401,4154,واد الخريوع,Oued El Khariouaa,36.056206,10.092902,ADM4 row / research sector code 41541401; dated ADM3 parent 4154,
imada,41561415,4156,وادي الجباس,Oued El Jebbès,35.631238,9.624953,ADM4 row / research sector code 41561415; dated ADM3 parent 4156,
imada,41581438,4158,وادي الحجل,Oued El Hajel,35.312067,9.638871,ADM4 row / research sector code 41581438; dated ADM3 parent 4158,
imada,41551411,4155,وادي القصب,Oued El Ksab,36.059224,9.772879,ADM4 row / research sector code 41551411; dated ADM3 parent 4155,
imada,43521592,4352,قارة حديد,Garet hadid,34.998045,9.57209,ADM4 row / research sector code 43521592; dated ADM3 parent 4352,
imada,43521593,4352,الزيتونة,Ezzitouna,34.926496,9.492633,ADM4 row / research sector code 43521593; dated ADM3 parent 4352,
imada,43621681,4362,الشواشية,Ech-Cheouachia,35.039715,9.861693,ADM4 row / research sector code 43621681; dated ADM3 parent 4362,
imada,43581635,4358,مش,Mech,34.507606,9.518388,ADM4 row / research sector code 43581635; dated ADM3 parent 4358,
imada,43581634,4358,الغريس الغربية,Gheris Ouest,34.650141,9.753507,ADM4 row / research sector code 43581634; dated ADM3 parent 4358,
imada,43621680,4362,المباركية,El Mebarkia,35.035083,9.812317,ADM4 row / research sector code 43621680; dated ADM3 parent 4362,
imada,43621679,4362,كسودة,Kassouda,35.111412,9.894512,ADM4 row / research sector code 43621679; dated ADM3 parent 4362,
imada,43581633,4358,الجباس,EL Jebbes,34.71601,9.637711,ADM4 row / research sector code 43581633; dated ADM3 parent 4358,
imada,43621678,4362,الحنية,El Henia,35.089471,9.77249,ADM4 row / research sector code 43621678; dated ADM3 parent 4362,
imada,43621677,4362,سيدي خليف,Sidi Khelif,35.14095,9.796051,ADM4 row / research sector code 43621677; dated ADM3 parent 4362,
imada,43621676,4362,الدويبات الجنوبية,Dheouibet Sud,35.092679,9.969176,ADM4 row / research sector code 43621676; dated ADM3 parent 4362,
imada,43621675,4362,اولاد حفوز,Ouled Haffouz,35.082985,9.849548,ADM4 row / research sector code 43621675; dated ADM3 parent 4362,
imada,43521584,4352,فانض,Faiedh,35.069125,9.672584,ADM4 row / research sector code 43521584; dated ADM3 parent 4352,
imada,43551611,4355,المحمدية,El Mohamdia,34.980473,9.162698,ADM4 row / research sector code 43551611; dated ADM3 parent 4355,
imada,43521583,4352,بنور,Bennour,35.179329,9.52477,ADM4 row / research sector code 43521583; dated ADM3 parent 4352,
imada,43581641,4358,النصر,Ennasr,34.556708,9.53785,ADM4 row / research sector code 43581641; dated ADM3 parent 4358,
imada,43541606,4354,العامرة,El Amra,35.130457,9.308146,ADM4 row / research sector code 43541606; dated ADM3 parent 4354,
imada,43551618,4355,بئر بوصبيع,Bir Bousbiaa,34.896819,9.261616,ADM4 row / research sector code 43551618; dated ADM3 parent 4355,
imada,43521591,4352,الحنية ابازيد,El Henia Abazid,35.032984,9.739425,ADM4 row / research sector code 43521591; dated ADM3 parent 4352,
imada,43521590,4352,عين رباو,Aïn Rebaou,34.994301,9.691739,ADM4 row / research sector code 43521590; dated ADM3 parent 4352,
imada,43551617,4355,رحال,Rahal,34.783153,9.349029,ADM4 row / research sector code 43551617; dated ADM3 parent 4355,
imada,43521589,4352,العقلة,El Okla,35.103577,9.613331,ADM4 row / research sector code 43521589; dated ADM3 parent 4352,
imada,43551616,4355,ورغة,Ourgha,34.787596,9.299903,ADM4 row / research sector code 43551616; dated ADM3 parent 4355,
imada,43521588,4352,المكارم الشرقية,El  Makarem Est,35.237807,9.575428,ADM4 row / research sector code 43521588; dated ADM3 parent 4352,
imada,43551615,4355,السلامة,Essalama,34.820551,9.377145,ADM4 row / research sector code 43551615; dated ADM3 parent 4355,
imada,43521587,4352,المكارم,El Makarem,35.216001,9.645963,ADM4 row / research sector code 43521587; dated ADM3 parent 4352,
imada,43551614,4355,المزارة,El Mezara,34.968171,9.277142,ADM4 row / research sector code 43551614; dated ADM3 parent 4355,
imada,43521586,4352,العامرة,El Amra,35.150308,9.647868,ADM4 row / research sector code 43521586; dated ADM3 parent 4352,
imada,43551613,4355,بئر عمامة,Bir Amama,34.863864,9.28687,ADM4 row / research sector code 43551613; dated ADM3 parent 4355,
imada,43521585,4352,الاسود,El Assouad,35.070034,9.546309,ADM4 row / research sector code 43521585; dated ADM3 parent 4352,
imada,43541608,4354,مغيلة,Meghila,35.263492,9.262498,ADM4 row / research sector code 43541608; dated ADM3 parent 4354,
imada,43511580,4351,الطويلة,Ettouila,35.003588,9.392255,ADM4 row / research sector code 43511580; dated ADM3 parent 4351,
imada,43511578,4351,ام العظام 2,Oum El Adham (1),35.082174,9.339041,ADM4 row / research sector code 43511578; dated ADM3 parent 4351,
imada,43511579,4351,ام العظام 1,Oum El Adham (2),35.104517,9.390102,ADM4 row / research sector code 43511579; dated ADM3 parent 4351,
imada,43541607,4354,السد,Essed,35.203752,9.336941,ADM4 row / research sector code 43541607; dated ADM3 parent 4354,
imada,43611674,4361,اولاد عيوني,Ouled Ayouni,34.832056,9.827426,ADM4 row / research sector code 43611674; dated ADM3 parent 4361,
imada,43511577,4351,الصداقية,Sadakia,35.081477,9.413809,ADM4 row / research sector code 43511577; dated ADM3 parent 4351,
imada,43511576,4351,الفريو,El Friou,34.8424,9.404562,ADM4 row / research sector code 43511576; dated ADM3 parent 4351,
imada,43541605,4354,السبالة,Cebalet,35.181837,9.279469,ADM4 row / research sector code 43541605; dated ADM3 parent 4354,
imada,43551610,4355,بئر الحفي,Bir El Hafey,34.938345,9.188769,ADM4 row / research sector code 43551610; dated ADM3 parent 4355,
imada,43611672,4361,السعيدة الشرقية,Essaïda Est,34.907526,9.958062,ADM4 row / research sector code 43611672; dated ADM3 parent 4361,
